Dubai fetch,WTI oil,Brent,world
24.59,27.04,25.39,25.67
23.83,25.51,24.13,24.49
24.57,26.92,25.77,25.75
25.32,28.37,26.63,26.78
26.83,29.67,28.34,28.28
26.18,28.85,27.55,27.53
23.16,26.28,24.18,24.54
25.7,29.44,28.52,27.89
28.05,32.95,31.25,30.75
30.2,35.8,32.65,32.88
27.42,33.32,30.34,30.36
23.43,28.22,25.02,25.56
24.25,28.13,25.81,26.06
25.5,30.71,27.55,27.92
26.63,30.75,28.4,28.59
27.62,31.58,29.83,29.68
25.27,28.28,27.1,26.88
27.13,30.32,29.59,29.01
27.5,31.09,28.77,29.12
27.86,32.12,29.93,29.97
28.68,34.24,31.18,31.37
28.4,34.73,30.87,31.33
30.46,36.73,33.8,33.67
31.07,36.71,33.36,33.71
34.47,40.29,37.92,37.56
33.41,38.03,35.19,35.54
34.48,40.82,38.37,37.89
38.3,44.92,43.03,42.08
35.48,45.93,43.38,41.6
37.58,53.25,49.82,46.88
34.88,48.45,43.05,42.13
34.26,43.23,39.64,39.04
37.81,46.82,44.28,42.97
40.94,47.96,45.56,44.82
45.58,54.17,53.08,50.94
47.1,52.96,51.86,50.64
45,49.81,48.67,47.83
50.98,56.39,54.31,53.89
52.85,58.67,57.58,56.37
56.63,64.96,64.09,61.89
56.54,65.54,62.98,61.69
53.67,62.36,58.52,58.19
51.31,58.28,55.54,55.04
53.13,59.41,56.75,56.43
58.31,65.48,63.57,62.46
57.58,61.62,59.92,59.7
57.65,62.89,62.25,60.93
64.06,69.41,70.44,67.97
64.91,70.93,70.19,68.68
65.08,70.93,68.86,68.29
69.05,74.4,73.9,72.45
68.78,73.04,73.61,71.81
59.77,63.82,62.77,62.12
56.5,58.85,58.38,57.91
56.82,59.13,58.48,58.14
58.67,62,62.31,60.99
52.01,54.24,54.3,53.52
55.68,59.25,57.76,57.56
59.05,60.6,62.14,60.6
63.84,63.94,67.4,65.06
64.54,63.45,67.48,65.16
65.76,67.49,71.32,68.19
69.46,74.14,77.2,73.6
67.21,72.38,70.8,70.13
73.25,79.91,77.13,76.76
77.14,85.9,82.86,81.97
86.73,94.76,92.53,91.34
85.75,91.36,91.45,89.52
87.17,92.98,91.92,90.69
89.96,95.38,94.82,93.39
96.78,105.47,103.28,101.84
103.47,112.62,110.19,108.76
118.95,125.01,123.94,122.63
127.59,133.93,133.05,131.52
131.22,133.38,133.87,132.83
113.21,116.64,113.85,114.57
95.97,103.94,99.06,99.66
68.62,76.61,72.84,72.69
51.38,57.29,53.24,53.97
41,41.44,41.58,41.34
44.97,41.74,44.86,43.86
43.14,39.15,43.24,41.84
45.58,47.52,46.84,46.65
50.18,49.81,50.85,50.28
57.4,59.13,57.94,58.15
69.21,69.62,68.62,69.15
64.97,64.12,64.91,64.67
71.32,71.06,72.5,71.63
67.91,69.44,67.69,68.35
73.28,75.77,73.19,74.08
77.63,78,77.04,77.55
75.49,74.49,74.67,74.88
76.64,78.36,76.37,77.12
73.56,76.41,74.31,74.76
77.37,81.25,79.27,79.3
83.09,84.48,84.98,84.18
76.87,73.73,76.25,75.62
